"date","series","yield"
2013-06-30,"Overnight",2.75
2013-06-30,"1-month",2.81
2013-06-30,"3-month",2.8
2013-06-30,"6-month",2.78
2013-06-30,"1-year",2.318
2013-06-30,"2-year",2.5775
2013-06-30,"3-year",2.67
2013-06-30,"5-year",2.9625
2013-06-30,"10-year",3.54
2013-07-31,"Overnight",2.75
2013-07-31,"1-month",2.78
2013-07-31,"3-month",2.76
2013-07-31,"6-month",2.73
2013-07-31,"1-year",2.4
2013-07-31,"2-year",2.5375
2013-07-31,"3-year",2.6925
2013-07-31,"5-year",3.09
2013-07-31,"10-year",3.75
2013-08-31,"Overnight",2.55
2013-08-31,"1-month",2.61
2013-08-31,"3-month",2.6
2013-08-31,"6-month",2.58
2013-08-31,"1-year",2.438
2013-08-31,"2-year",2.5
2013-08-31,"3-year",2.69
2013-08-31,"5-year",3.14
2013-08-31,"10-year",3.86
2013-09-30,"Overnight",2.5
2013-09-30,"1-month",2.58
2013-09-30,"3-month",2.58
2013-09-30,"6-month",2.58
2013-09-30,"1-year",2.554
2013-09-30,"2-year",2.6875
2013-09-30,"3-year",2.8975
2013-09-30,"5-year",3.33
2013-09-30,"10-year",3.995
2013-10-31,"Overnight",2.5
2013-10-31,"1-month",2.57
2013-10-31,"3-month",2.58
2013-10-31,"6-month",2.61
2013-10-31,"1-year",2.534
2013-10-31,"2-year",2.7075
2013-10-31,"3-year",2.95
2013-10-31,"5-year",3.3475
2013-10-31,"10-year",3.97
2013-11-30,"Overnight",2.5
2013-11-30,"1-month",2.58
2013-11-30,"3-month",2.58
2013-11-30,"6-month",2.62
2013-11-30,"1-year",2.508
2013-11-30,"2-year",2.77
2013-11-30,"3-year",3.0325
2013-11-30,"5-year",3.46
2013-11-30,"10-year",4.125
2013-12-31,"Overnight",2.5
2013-12-31,"1-month",2.59
2013-12-31,"3-month",2.6
2013-12-31,"6-month",2.62
2013-12-31,"1-year",2.418
2013-12-31,"2-year",2.71
2013-12-31,"3-year",2.9625
2013-12-31,"5-year",3.4575
2013-12-31,"10-year",4.2425
2014-01-31,"Overnight",2.5
2014-01-31,"1-month",2.61
2014-01-31,"3-month",2.62
2014-01-31,"6-month",2.64
2014-01-31,"1-year",2.441
2014-01-31,"2-year",2.6625
2014-01-31,"3-year",2.9075
2014-01-31,"5-year",3.41
2014-01-31,"10-year",4.1825
2014-02-28,"Overnight",2.5
2014-02-28,"1-month",2.61
2014-02-28,"3-month",2.63
2014-02-28,"6-month",2.66
2014-02-28,"1-year",2.613
2014-02-28,"2-year",2.7
2014-02-28,"3-year",2.9525
2014-02-28,"5-year",3.405
2014-02-28,"10-year",4.12
2014-03-31,"Overnight",2.5
2014-03-31,"1-month",2.63
2014-03-31,"3-month",2.65
2014-03-31,"6-month",2.68
2014-03-31,"1-year",2.605
2014-03-31,"2-year",2.7375
2014-03-31,"3-year",2.965
2014-03-31,"5-year",3.41
2014-03-31,"10-year",4.1025
2014-04-30,"Overnight",2.5
2014-04-30,"1-month",2.65
2014-04-30,"3-month",2.68
2014-04-30,"6-month",2.72
2014-04-30,"1-year",2.568
2014-04-30,"2-year",2.76
2014-04-30,"3-year",3
2014-04-30,"5-year",3.3925
2014-04-30,"10-year",4.03
2014-05-31,"Overnight",2.5
2014-05-31,"1-month",2.66
2014-05-31,"3-month",2.69
2014-05-31,"6-month",2.71
2014-05-31,"1-year",2.471
2014-05-31,"2-year",2.6725
2014-05-31,"3-year",2.86
2014-05-31,"5-year",3.2025
2014-05-31,"10-year",3.775
2014-06-30,"Overnight",2.5
2014-06-30,"1-month",2.66
2014-06-30,"3-month",2.7
2014-06-30,"6-month",2.72
2014-06-30,"1-year",2.558
2014-06-30,"2-year",2.6225
2014-06-30,"3-year",2.795
2014-06-30,"5-year",3.12
2014-06-30,"10-year",3.7025
2014-07-31,"Overnight",2.5
2014-07-31,"1-month",2.65
2014-07-31,"3-month",2.65
2014-07-31,"6-month",2.67
2014-07-31,"1-year",2.511
2014-07-31,"2-year",2.53
2014-07-31,"3-year",2.6375
2014-07-31,"5-year",2.9375
2014-07-31,"10-year",3.4675
2014-08-31,"Overnight",2.5
2014-08-31,"1-month",2.62
2014-08-31,"3-month",2.63
2014-08-31,"6-month",2.65
2014-08-31,"1-year",2.598
2014-08-31,"2-year",2.555
2014-08-31,"3-year",2.655
2014-08-31,"5-year",2.925
2014-08-31,"10-year",3.41
2014-09-30,"Overnight",2.5
2014-09-30,"1-month",2.63
2014-09-30,"3-month",2.66
2014-09-30,"6-month",2.7
2014-09-30,"1-year",2.509
2014-09-30,"2-year",2.665
2014-09-30,"3-year",2.7975
2014-09-30,"5-year",3.045
2014-09-30,"10-year",3.545
2014-10-31,"Overnight",2.5
2014-10-31,"1-month",2.64
2014-10-31,"3-month",2.72
2014-10-31,"6-month",2.75
2014-10-31,"1-year",2.503
2014-10-31,"2-year",2.5325
2014-10-31,"3-year",2.6075
2014-10-31,"5-year",2.845
2014-10-31,"10-year",3.3175
2014-11-30,"Overnight",2.5
2014-11-30,"1-month",2.64
2014-11-30,"3-month",2.75
2014-11-30,"6-month",2.8
2014-11-30,"1-year",2.299
2014-11-30,"2-year",2.5125
2014-11-30,"3-year",2.5525
2014-11-30,"5-year",2.7675
2014-11-30,"10-year",3.2575
2014-12-31,"Overnight",2.5
2014-12-31,"1-month",2.63
2014-12-31,"3-month",2.75
2014-12-31,"6-month",2.78
2014-12-31,"1-year",2.031
2014-12-31,"2-year",2.3
2014-12-31,"3-year",2.275
2014-12-31,"5-year",2.435
2014-12-31,"10-year",2.955
2015-01-31,"Overnight",2.5
2015-01-31,"1-month",2.62
2015-01-31,"3-month",2.7
2015-01-31,"6-month",2.75
2015-01-31,"1-year",1.88
2015-01-31,"2-year",2.1475
2015-01-31,"3-year",2.1075
2015-01-31,"5-year",2.2075
2015-01-31,"10-year",2.6375
2015-02-28,"Overnight",2.28
2015-02-28,"1-month",2.34
2015-02-28,"3-month",2.36
2015-02-28,"6-month",2.38
2015-02-28,"1-year",1.8
2015-02-28,"2-year",1.8925
2015-02-28,"3-year",1.88
2015-02-28,"5-year",2.0125
2015-02-28,"10-year",2.5025
2015-03-31,"Overnight",2.25
2015-03-31,"1-month",2.27
2015-03-31,"3-month",2.3
2015-03-31,"6-month",2.33
2015-03-31,"1-year",1.983
2015-03-31,"2-year",1.8325
2015-03-31,"3-year",1.8325
2015-03-31,"5-year",1.9775
2015-03-31,"10-year",2.4825
2015-04-30,"Overnight",2.25
2015-04-30,"1-month",2.24
2015-04-30,"3-month",2.25
2015-04-30,"6-month",2.28
2015-04-30,"1-year",1.919
2015-04-30,"2-year",1.835
2015-04-30,"3-year",1.8025
2015-04-30,"5-year",1.9475
2015-04-30,"10-year",2.41
2015-05-31,"Overnight",2.04
2015-05-31,"1-month",2.06
2015-05-31,"3-month",2.15
2015-05-31,"6-month",2.24
2015-05-31,"1-year",1.954
2015-05-31,"2-year",2
2015-05-31,"3-year",2.0675
2015-05-31,"5-year",2.27
2015-05-31,"10-year",2.88
2015-06-30,"Overnight",2
2015-06-30,"1-month",2.04
2015-06-30,"3-month",2.15
2015-06-30,"6-month",2.25
2015-06-30,"1-year",1.926
2015-06-30,"2-year",1.995
2015-06-30,"3-year",2.03
2015-06-30,"5-year",2.2875
2015-06-30,"10-year",2.975
2015-07-31,"Overnight",2
2015-07-31,"1-month",2.05
2015-07-31,"3-month",2.14
2015-07-31,"6-month",2.25
2015-07-31,"1-year",1.877
2015-07-31,"2-year",1.915
2015-07-31,"3-year",1.9475
2015-07-31,"5-year",2.2025
2015-07-31,"10-year",2.9025
2015-08-31,"Overnight",2
2015-08-31,"1-month",2.04
2015-08-31,"3-month",2.14
2015-08-31,"6-month",2.23
2015-08-31,"1-year",1.922
2015-08-31,"2-year",1.88
2015-08-31,"3-year",1.88
2015-08-31,"5-year",2.1
2015-08-31,"10-year",2.715
2015-09-30,"Overnight",2
2015-09-30,"1-month",2.06
2015-09-30,"3-month",2.17
2015-09-30,"6-month",2.24
2015-09-30,"1-year",1.798
2015-09-30,"2-year",1.8525
2015-09-30,"3-year",1.855
2015-09-30,"5-year",2.1025
2015-09-30,"10-year",2.695
2015-10-31,"Overnight",2
2015-10-31,"1-month",2.04
2015-10-31,"3-month",2.15
2015-10-31,"6-month",2.22
2015-10-31,"1-year",2.005
2015-10-31,"2-year",1.8025
2015-10-31,"3-year",1.835
2015-10-31,"5-year",2.0725
2015-10-31,"10-year",2.6225
2015-11-30,"Overnight",2
2015-11-30,"1-month",2.05
2015-11-30,"3-month",2.22
2015-11-30,"6-month",2.32
2015-11-30,"1-year",2.031
2015-11-30,"2-year",1.9925
2015-11-30,"3-year",2.0575
2015-11-30,"5-year",2.2775
2015-11-30,"10-year",2.8525
2015-12-31,"Overnight",2
2015-12-31,"1-month",2.07
2015-12-31,"3-month",2.34
2015-12-31,"6-month",2.44
2015-12-31,"1-year",1.922
2015-12-31,"2-year",2.0525
2015-12-31,"3-year",2.095
2015-12-31,"5-year",2.285
2015-12-31,"10-year",2.845
2016-01-31,"Overnight",2
2016-01-31,"1-month",2.05
2016-01-31,"3-month",2.3
2016-01-31,"6-month",2.42
2016-01-31,"1-year",1.931
2016-01-31,"2-year",1.9525
2016-01-31,"3-year",1.9425
2016-01-31,"5-year",2.1475
2016-01-31,"10-year",2.725
2016-02-29,"Overnight",2
2016-02-29,"1-month",2.08
2016-02-29,"3-month",2.28
2016-02-29,"6-month",2.4
2016-02-29,"1-year",2.03
2016-02-29,"2-year",1.815
2016-02-29,"3-year",1.7925
2016-02-29,"5-year",1.99
2016-02-29,"10-year",2.475
2016-03-31,"Overnight",2
2016-03-31,"1-month",2.09
2016-03-31,"3-month",2.31
2016-03-31,"6-month",2.45
2016-03-31,"1-year",1.904
2016-03-31,"2-year",1.9425
2016-03-31,"3-year",1.9525
2016-03-31,"5-year",2.135
2016-03-31,"10-year",2.5675
2016-04-30,"Overnight",2
2016-04-30,"1-month",2.08
2016-04-30,"3-month",2.26
2016-04-30,"6-month",2.42
2016-04-30,"1-year",1.714
2016-04-30,"2-year",1.9325
2016-04-30,"3-year",1.9175
2016-04-30,"5-year",2.0925
2016-04-30,"10-year",2.515
2016-05-31,"Overnight",1.77
2016-05-31,"1-month",1.85
2016-05-31,"3-month",2
2016-05-31,"6-month",2.13
2016-05-31,"1-year",1.601
2016-05-31,"2-year",1.64
2016-05-31,"3-year",1.6275
2016-05-31,"5-year",1.8325
2016-05-31,"10-year",2.32
2016-06-30,"Overnight",1.75
2016-06-30,"1-month",1.85
2016-06-30,"3-month",1.99
2016-06-30,"6-month",2.14
2016-06-30,"1-year",1.61
2016-06-30,"2-year",1.62
2016-06-30,"3-year",1.5775
2016-06-30,"5-year",1.72
2016-06-30,"10-year",2.1175
2016-07-31,"Overnight",1.75
2016-07-31,"1-month",1.85
2016-07-31,"3-month",1.93
2016-07-31,"6-month",2.09
2016-07-31,"1-year",1.445
2016-07-31,"2-year",1.57
2016-07-31,"3-year",1.5225
2016-07-31,"5-year",1.615
2016-07-31,"10-year",1.9275
2016-08-31,"Overnight",1.52
2016-08-31,"1-month",1.64
2016-08-31,"3-month",1.76
2016-08-31,"6-month",1.95
2016-08-31,"1-year",1.572
2016-08-31,"2-year",1.44
2016-08-31,"3-year",1.4075
2016-08-31,"5-year",1.5375
2016-08-31,"10-year",1.875
2016-09-30,"Overnight",1.5
2016-09-30,"1-month",1.62
2016-09-30,"3-month",1.73
2016-09-30,"6-month",1.95
2016-09-30,"1-year",1.65
2016-09-30,"2-year",1.56
2016-09-30,"3-year",1.56
2016-09-30,"5-year",1.695
2016-09-30,"10-year",1.985
2016-10-31,"Overnight",1.5
2016-10-31,"1-month",1.62
2016-10-31,"3-month",1.74
2016-10-31,"6-month",1.98
2016-10-31,"1-year",1.688
2016-10-31,"2-year",1.6725
2016-10-31,"3-year",1.6925
2016-10-31,"5-year",1.8325
2016-10-31,"10-year",2.2
2016-11-30,"Overnight",1.5
2016-11-30,"1-month",1.62
2016-11-30,"3-month",1.76
2016-11-30,"6-month",2
2016-11-30,"1-year",1.735
2016-11-30,"2-year",1.715
2016-11-30,"3-year",1.795
2016-11-30,"5-year",2.015
2016-11-30,"10-year",2.505
2016-12-31,"Overnight",1.5
2016-12-31,"1-month",1.62
2016-12-31,"3-month",1.78
2016-12-31,"6-month",2.02
2016-12-31,"1-year",1.713
2016-12-31,"2-year",1.845
2016-12-31,"3-year",1.965
2016-12-31,"5-year",2.24
2016-12-31,"10-year",2.7925
2017-01-31,"Overnight",1.5
2017-01-31,"1-month",1.62
2017-01-31,"3-month",1.78
2017-01-31,"6-month",2.03
2017-01-31,"1-year",1.612
2017-01-31,"2-year",1.83
2017-01-31,"3-year",1.95
2017-01-31,"5-year",2.21
2017-01-31,"10-year",2.7275
2017-02-28,"Overnight",1.5
2017-02-28,"1-month",1.62
2017-02-28,"3-month",1.78
2017-02-28,"6-month",2
2017-02-28,"1-year",1.577
2017-02-28,"2-year",1.805
2017-02-28,"3-year",1.9375
2017-02-28,"5-year",2.2175
2017-02-28,"10-year",2.75
2017-03-31,"Overnight",1.5
2017-03-31,"1-month",1.63
2017-03-31,"3-month",1.79
2017-03-31,"6-month",2
2017-03-31,"1-year",1.619
2017-03-31,"2-year",1.8125
2017-03-31,"3-year",1.985
2017-03-31,"5-year",2.2925
2017-03-31,"10-year",2.81
2017-04-30,"Overnight",1.5
2017-04-30,"1-month",1.62
2017-04-30,"3-month",1.77
2017-04-30,"6-month",1.97
2017-04-30,"1-year",1.566
2017-04-30,"2-year",1.67
2017-04-30,"3-year",1.8
2017-04-30,"5-year",2.0875
2017-04-30,"10-year",2.56
2017-05-31,"Overnight",1.5
2017-05-31,"1-month",1.62
2017-05-31,"3-month",1.73
2017-05-31,"6-month",1.9
2017-05-31,"1-year",1.637
2017-05-31,"2-year",1.655
2017-05-31,"3-year",1.775
2017-05-31,"5-year",2.0525
2017-05-31,"10-year",2.5425
2017-06-30,"Overnight",1.5
2017-06-30,"1-month",1.62
2017-06-30,"3-month",1.72
2017-06-30,"6-month",1.85
2017-06-30,"1-year",1.646
2017-06-30,"2-year",1.6575
2017-06-30,"3-year",1.7625
2017-06-30,"5-year",1.9875
2017-06-30,"10-year",2.4075
2017-07-31,"Overnight",1.5
2017-07-31,"1-month",1.61
2017-07-31,"3-month",1.7
2017-07-31,"6-month",1.83
2017-07-31,"1-year",1.681
2017-07-31,"2-year",1.78
2017-07-31,"3-year",1.95
2017-07-31,"5-year",2.2125
2017-07-31,"10-year",2.6425
2017-08-31,"Overnight",1.5
2017-08-31,"1-month",1.6
2017-08-31,"3-month",1.7
2017-08-31,"6-month",1.85
2017-08-31,"1-year",1.8
2017-08-31,"2-year",1.7725
2017-08-31,"3-year",1.9375
2017-08-31,"5-year",2.185
2017-08-31,"10-year",2.5975
2017-09-30,"Overnight",1.5
2017-09-30,"1-month",1.6
2017-09-30,"3-month",1.72
2017-09-30,"6-month",1.91
2017-09-30,"1-year",1.746
2017-09-30,"2-year",1.89
2017-09-30,"3-year",2.06
2017-09-30,"5-year",2.3
2017-09-30,"10-year",2.7
2017-10-31,"Overnight",1.5
2017-10-31,"1-month",1.6
2017-10-31,"3-month",1.7
2017-10-31,"6-month",1.89
2017-10-31,"1-year",1.697
2017-10-31,"2-year",1.91
2017-10-31,"3-year",2.07
2017-10-31,"5-year",2.34
2017-10-31,"10-year",2.78
2017-11-30,"Overnight",1.5
2017-11-30,"1-month",1.63
2017-11-30,"3-month",1.72
2017-11-30,"6-month",1.89
2017-11-30,"1-year",1.817
2017-11-30,"2-year",1.79
2017-11-30,"3-year",1.92
2017-11-30,"5-year",2.16
2017-11-30,"10-year",2.57
2017-12-31,"Overnight",1.5
2017-12-31,"1-month",1.69
2017-12-31,"3-month",1.77
2017-12-31,"6-month",1.95
2017-12-31,"1-year",1.772
2017-12-31,"2-year",1.9
2017-12-31,"3-year",2.03
2017-12-31,"5-year",2.25
2017-12-31,"10-year",2.58
2018-01-31,"Overnight",1.5
2018-01-31,"1-month",1.7
2018-01-31,"3-month",1.79
2018-01-31,"6-month",1.97
2018-01-31,"1-year",1.854
2018-01-31,"2-year",1.98
2018-01-31,"3-year",2.16
2018-01-31,"5-year",2.39
2018-01-31,"10-year",2.75
2018-02-28,"Overnight",1.5
2018-02-28,"1-month",1.68
2018-02-28,"3-month",1.77
2018-02-28,"6-month",1.92
2018-02-28,"1-year",1.916
2018-02-28,"2-year",1.96
2018-02-28,"3-year",2.12
2018-02-28,"5-year",2.4
2018-02-28,"10-year",2.86
2018-03-31,"Overnight",1.5
2018-03-31,"1-month",1.77
2018-03-31,"3-month",1.93
2018-03-31,"6-month",2.06
2018-03-31,"1-year",1.979
2018-03-31,"2-year",1.99
2018-03-31,"3-year",2.1
2018-03-31,"5-year",2.35
2018-03-31,"10-year",2.72
